연번,쉼터명,주소,경도,위도
313,엄광할머니경로당,부산광역시 부산진구 복지로 96,129.0185864,35.144817
314,학산경로당,부산광역시 부산진구 복지로 101,129.0200672,35.1445164
315,학청경로당,부산광역시 부산진구 진사로68번길 16,129.015523,35.145119
316,개금현대I아파트경로당(여),부산광역시 부산진구 복지로 70,129.0193042,35.1479003
317,개금2동대동아파트경로당,부산광역시 부산진구 진사로89번길 73,129.0206389,35.1435022
318,새마을경로당,부산광역시 부산진구 복지로 116,129.0183323,35.1430832
319,학청할머니경로당,부산광역시 부산진구 진사로50번길 10,129.015638,35.146425
320,개금현대I아파트경로당(남),부산광역시 부산진구 복지로 70,129.0192989,35.1479836
321,개금2동주민센터,부산광역시 부산진구 복지로 93,129.019471,35.144932
322,개금사회복지관경로당,부산광역시 부산진구 백양관문로77번길 140,129.0236763,35.1632114
323,개금3동삼환아파트경로당,부산광역시 부산진구 백양대로208번길 133,129.0239354,35.1619923
324,개화경로당,부산광역시 부산진구 백양대로208번길 25,129.0262527,35.1594758
325,동원화인훼밀리할머니경로당,부산광역시 부산진구 백양관문로77번길 55,129.02862,35.163604
326,동원화인훼밀리할아버지경로당,부산광역시 부산진구 백양관문로77번길 55,129.02862,35.163604
327,반도보라여자경로당,부산광역시 부산진구 개금본동로 42,129.0218,35.159352
328,반도보라남자경로당,부산광역시 부산진구 개금본동로 40,129.0228247,35.1591125
329,백양경로당,부산광역시 부산진구 백양관문로 7,129.0292429,35.1598471
330,성도경로당,부산광역시 부산진구 개금본동로22번길 31,129.023445,35.160586
331,신개금LG할아버지경로당,부산광역시 부산진구 백양대로300번길 20,129.0195461,35.1559359
332,신개금LG아파트할머니경로당,부산광역시 부산진구 백양대로300번길 20,129.0195461,35.1559359
